unit_number,street_address_1,street_address_2,city,state,zip,building_number,association_number,folio,strap
2214,4275 BELLASOL CIRCLE,,FORT MYERS,FL,33916,22,5,10517687,31-44-25-P3-01722.2214
1412,4128 BELLASOL CIRCLE,,FORT MYERS,FL,33916,14,2,10505619,31-44-25-P3-01414.1412
722,4206 BELLASOL CIRCLE,,FORT MYERS,FL,33916,7,4,10511456,31-44-25-P3-01607.0722
914,4222 BELLASOL CIRCLE,,FORT MYERS,FL,33916,9,4,10511474,31-44-25-P3-01609.0914
1123,4109 BELLASOL CIRCLE,,FORT MYERS,FL,33916,11,1,10503633,31-44-25-P3-01311.1123
2621,4299 BELLASOL CIRCLE,,FORT MYERS,FL,33916,26,6,10517116,31-44-25-P3-01826.2621
3222,4318 BELLASOL CIRCLE,,FORT MYERS,FL,33916,32,7,10508322,31-44-25-P3-01332.3222
2812,4315 BELLASOL CIRCLE,,FORT MYERS,FL,33916,28,7,10499629,31-44-25-P3-01328.2812
1024,4236 BELLASOL CIRCLE,,FORT MYERS,FL,33916,10,4,10511486,31-44-25-P3-01610.1024
2522,4293 BELLASOL CIRCLE,,FORT MYERS,FL,33916,25,6,10517109,31-44-25-P3-01825.2522
2511,4293 BELLASOL CIRCLE,,FORT MYERS,FL,33916,25,6,10517104,31-44-25-P3-01825.2511
713,4206 BELLASOL CIRCLE,,FORT MYERS,FL,33916,7,4,10511453,31-44-25-P3-01607.0713
212,4125 BELLASOL CIRCLE,,FORT MYERS,FL,33916,2,2,10502546,31-44-25-P3-01402.0212
913,4222 BELLASOL CIRCLE,,FORT MYERS,FL,33916,9,4,10511473,31-44-25-P3-01609.0913
312,4133 BELLASOL CIRCLE,,FORT MYERS,FL,33916,3,2,10502558,31-44-25-P3-01403.0312
2822,4315 BELLASOL CIRCLE,,FORT MYERS,FL,33916,28,7,10499631,31-44-25-P3-01328.2822
2912,4336 BELLASOL CIRCLE,,FORT MYERS,FL,33916,29,7,10508316,31-44-25-P3-01329.2912
2821,4315 BELLASOL CIRCLE,,FORT MYERS,FL,33916,28,7,10499630,31-44-25-P3-01328.2821
2323,4281 BELLASOL CIRCLE,,FORT MYERS,FL,33916,23,6,10517094,31-44-25-P3-01823.2323
2911,4336 BELLASOL CIRCLE,,FORT MYERS,FL,33916,29,7,10508315,31-44-25-P3-01329.2911
523,4191 BELLASOL CIRCLE,,FORT MYERS,FL,33916,5,3,10511501,31-44-25-P3-01505.0523
3312,4312 BELLASOL CIRCLE,,FORT MYERS,FL,33916,33,7,10508324,31-44-25-P3-01333.3312
